"Status","PL-ID","Flags","Source","Draft dialogue","Seed-EX","Score","Concept","Moves","Rubric","Turns","Trigger","Difficulty","Misconception","Anchors"
"auto-validated","PL-001","grounding-partial","corpus/inw/book1/ch01_v5.1.md","S: I counted buttercups in the park and got fives and eights, sometimes thirteen. Why always those numbers — is someone enforcing this?|N: No enforcer needed. First: what did you actually count — petals, or something the plant was doing?|S: Petals... but the counts came in a run: five, then eight, then thirteen. It felt like the numbers came from the flowers, not from me.|N: Then test the smallest case. If one whorl is five and the next is eight, what rule connects them?|S: Eight is five plus the one before it... each number is the two before it, added together. So the plant is already doing the addition, and thirteen was waiting in the rule.|N: Why might adding the past build the next whorl?|S: Because each new whorl grows out of what is already there — the plant can only add on to what it has, so the two before sum into the next.|N: So nobody enforced five and eight — the adding itself was the rule. That is the Fibonacci sequence, and you derived it from your own park, Sophie.","EX-001","9","Fibonacci sequence — deriving the rule from petal counts","elicit-observation,redirect,structural-why,name-last,credit-the-student","(1) student's counts treated as evidence; (2) rule elicited, not told; (3) future count predicted; (4) growth-from-what-exists reasoned; (5) credit without cheerleading","4","I counted buttercups in the park and got fives and eights. Why always those numbers — is someone enforcing this?","2","Reading the pattern as intervals (differences) instead of generation (sums)","'3 + 5 = 8! … Each number is made by adding the two numbers before it!' (ch01: 'You just discovered the Fibonacci sequence.')"
"auto-validated","PL-002","","corpus/inw/book1/ch01_v5.1.md","S: Shouldn't we call it the Bonacci sequence? Leonardo just carried the book to Europe — discoverers get the name.|N: Careful with the word carried. Before Leonardo, who had already been using the rule, and where?|S: The chapter said a scholar in India named Pingala studied it more than two thousand years ago — and misrau cha, the two are mixed, was already about combining.|N: So if the rule was old by Leonardo's time, what exactly did he contribute?|S: Not discovery — transport. He carried place value and the sequence to Europe roughly fourteen hundred years later. The naming happened to stick to the courier.|N: Then what does that distinction protect us from?|S: From reading a name in a textbook as proof of origin. Naming is not discovering — the evidence of provenance outranks the label.|N: Precisely — and you separated the two on your own, Sophie.","EX-003","10","Provenance — Pingala, Bonacci, Lucas; naming is not discovering","history-as-evidence,redirect,belief-vs-knowledge,name-last,credit-the-student","(1) provenance evidence recalled; (2) contribution vs discovery separated; (3) naming-is-not-discovering stated by student; (4) no Europe-centric residue; (5) close credits the reasoning","4","Shouldn't we call it the Bonacci sequence? Leonardo just carried the book to Europe — discoverers get the name.","2","Conflating 'named after' with 'discovered by'; European-centric attribution","'More than two thousand years ago… a scholar in India named Pingala'; 'misrau cha—'the two are mixed.''; 'Roughly fourteen hundred years'; Lucas 'in the 1800s'"
"auto-validated","PL-003","grounding-partial","corpus/inw/book1/ch01_v5.1.md","S: We listed ratios of neighboring Fibonacci numbers: 5/3, 8/5, 13/8. They keep changing — where is the famous golden thing?|N: Where are the ratios heading as the numbers grow? Compare 5/3 and 13/8 — which is closer to 1.6?|S: 13/8 is 1.625, much nearer 1.6 than 5/3 at about 1.67. The ratios are squeezing toward some fixed value from both sides.|N: And what must that value satisfy, if each new count is the sum of the two before?|S: If the ratio settles at r, then r equals one plus one over r — because the next ratio is built the same way from the next pair.|N: So the target is not arbitrary — it is the only number that survives its own rule. What is it called?|S: The golden ratio — about 1.618 — the limit the ratios converge to without ever quite landing.|N: You boxed the limit in from your own table before I named it — that is exactly how it should be found, Sophie.","EX-005","9","Golden ratio — ratio convergence of consecutive Fibonacci numbers","elicit-observation,tabulate,structural-why,name-last,credit-the-student","(1) ratio table read as convergence; (2) fixed-point relation elicited; (3) limit named only after the property; (4) both-sides squeeze understood; (5) no decimal worship — approximation honored","4","We listed ratios of neighboring Fibonacci numbers: 5/3, 8/5, 13/8. They keep changing — where is the famous golden thing?","3","Treating 1.618 as an arbitrary constant, or believing the ratios reach it exactly","'5 ÷ 3 = 1.666…; 8 ÷ 5 = 1.6; 13 ÷ 8 = 1.625; 21 ÷ 13 = 1.615…; 34 ÷ 21 = 1.619…'; 'they never quite reach exactly 1.618—that number goes on forever without repeating'"
"auto-validated","PL-004","grounding-partial","corpus/inw/book1/ch01_v5.1.md","S: Meru Prastara's rows go 1, 2, 4, 8, 16. Why does the staircase double every row — is that a coincidence?|N: Take one row becoming the next. How many parents does each entry have in the row above?|S: Two — each number is the sum of the two above it, the one up-left and the one up-right.|N: Then if every entry needs two parents, how do the total parents compare to the row's count?|S: Each entry is shared by two children, so the total doubles — every row must be the sum of twice the row before. Sixteen is not luck; it is arithmetic.|N: So the doubling is the row-total shadow of one local rule. What is the staircase called?|S: Meru Prastara — the staircase of Mount Meru, and its doubling is just every entry summing from two parents.|N: You derived the doubling from the sharing — the structure told you, Sophie.","EX-007","8","Meru Prastara — staircase of Mount Meru; why row totals double","elicit-observation,structural-why,quantify,name-last,credit-the-student","(1) two-parent rule stated; (2) doubling derived, not asserted; (3) shared-parent counting shown; (4) name given after property met; (5) no mystical framing of the total","4","Meru Prastara's rows go 1, 2, 4, 8, 16. Why does the staircase double every row — is that a coincidence?","2","Memorizing the doubling fact without the reason; 'Pascal' as the origin","'A scholar named Halayudha drew this exact triangle in the tenth century… He called it Meru Prastara—the staircase of Mount Meru.'; 'every number in a row contributes to two numbers in the next row. So the total doubles each time.'"
"auto-validated","PL-005","grounding-partial","corpus/inw/book1/ch02_v5.1.md","S: Roman numerals worked for Rome for centuries. What was actually wrong with them that place value fixed?|N: Try the multiplication XXXVII times XII in Roman style, then in columns. Where does the pain appear?|S: In the columns — with place value each position is a power of ten, so a digit's worth depends only on where it sits, and the same small table works everywhere.|N: And what did Leonardo do with that machinery?|S: He carried the digital system to Europe — the one that makes calculation mechanical instead of a puzzle of letter-stacking.|N: So the fix was not new numbers but a new grammar for old numbers. What is that grammar called?|S: Place value — position itself carries the magnitude, so ten symbols can encode any size.|N: You located the failure and the fix by doing, not by being told — hold onto that instinct, Sophie.","EX-011","8","Place value — the digital system Leonardo carried to Europe","elicit-observation,redirect,structural-why,credit-the-student","(1) pain point demonstrated by attempt; (2) position-carries-magnitude articulated; (3) Leonardo framed as carrier; (4) grammar-vs-numbers distinction; (5) student owns the contrast","4","Roman numerals worked for Rome for centuries. What was actually wrong with them that place value fixed?","2","Believing a digit's value is fixed by its symbol; treating Roman numerals as adequate for calculation","Same digit—three—but it means three, then thirty, then three hundred. What changed is where it sits.; a number's value depends on its place. They call it place value; Without a zero, place value falls apart."
"rejected-structural","PL-006","no-quotes-parsed;grounding-partial","corpus/inw/book1/ch02_v5.1.md","S: Where does the square root of five even come from in phi equals one plus root-five over two? Nobody grows root-five in a garden.|N: Start from the ratio's own law: r equals one plus one over r. Clear the fraction — what equation does r obey?|S: r squared equals r plus one, so r squared minus r minus one equals zero.|N: And what tool finds r when r squared is pinned to r and a constant?|S: The quadratic formula — r equals one plus or minus the square root of five, all over two. The five was hiding inside the self-referential rule the whole time.|N: Why keep the plus sign and discard the minus?|S: Because counts are positive — the minus root gives about minus zero point six one eight, which no petal can be. The positive root is the only one the garden can use.|N: So root-five is not grown or measured — it falls out of the rule r must obey. You dragged it out yourself, Sophie.","EX-013","8","Deriving φ = (1 + √5)/2 — where the square root of five comes from","tabulate,derive-step,structural-why,name-last,credit-the-student","(1) fixed-point equation formed; (2) quadratic derived; (3) root of five located as arising from the rule; (4) sign choice justified by positivity; (5) phi named last, student earned it","4","Where does the square root of five even come from in phi equals one plus root-five over two? Nobody grows root-five in a garden.","5","Treating √5 as an arbitrary constant smuggled in by the quadratic formula","F(n) = F(n-1) + F(n-2); r = F(n+1) / F(n); r = 1 + 1/r; r2 = r + 1 ... r2 - r - 1 = 0; r = (1 + √5) / 2; You started with the Fibonacci sequence, used its defining property, turned it into an equation, and solved for the constant. That's mathematics."
"auto-validated","PL-007","grounding-partial","corpus/inw/book1/ch03_v5.1.md","S: So sunflowers grow BY phi, right? Every petal multiplies out to 1.618 exactly.|N: Two claims hide in that sentence. One: counts hit Fibonacci numbers. Two: growth multiplies by phi each step. Which did the chapter actually establish?|S: The counts — petal numbers land on the sequence. Nobody measured a flower multiplying by 1.618 per day.|N: Then what is the honest difference between those claims?|S: Growth BY phi would be a rate claim, and rates need measurements over time. The counts are structure claims — a different thing entirely.|N: So which sentence should we retire?|S: The grows-by-phi one. The defensible statement is that the counts are Fibonacci counts; the rate claim is untested shorthand.|N: Good — you refused to let a slogan dress up as a measurement, Sophie.","EX-016","9","Growth BY phi vs counts that hit Fibonacci — two different claims","belief-vs-knowledge,redirect,quantitative-care,credit-the-student","(1) two claims separated; (2) count-structure vs growth-rate distinguished; (3) unmeasured claim retired; (4) no anthropomorphic intent left; (5) student states the honest version","4","So sunflowers grow BY phi, right? Every petal multiplies out to 1.618 exactly.","2","Conflating counts-that-hit-Fibonacci with the growth rule itself","That's the secret of the spiral. It doesn't just have phi in it, like the Fibonacci counts we saw in the sunflower. It grows by phi. Each time the spiral makes a complete turn, the distance from the center has multiplied by phi."
"auto-validated","PL-008","grounding-partial","corpus/inw/book1/ch04_v5.1.md","S: If I turn a robot arm a half-turn each step it retraces itself. What changes with a third of a turn — or an irrational fraction?|N: Tabulate it. Half-turn: how many positions before the arm revisits the first one?|S: Two — opposite points, then it repeats. A third of a turn gives three positions, a quarter gives four... any rational fraction closes into a small loop.|N: Now the irrational case — a turn that is not any whole-number fraction. When do marks ever line up?|S: Never exactly. The arm keeps visiting new angles, filling the circle without ever repeating — rational turns repeat, irrational turns never close.|N: So which kind of turn spreads arrival points evenly around a stem?|S: The irrational one — no loop means no favorite direction, so arrivals distribute evenly instead of stacking into rays.|N: That contrast — closing versus never closing — is the whole game, and you built both sides yourself, Sophie.","EX-021","9","Rational turns repeat, irrational turns never line up","elicit-observation,tabulate,contrast,name-last,credit-the-student","(1) rational closes, tabulated; (2) irrational never closes; (3) even-spread consequence drawn by student; (4) name-last discipline; (5) no jargon before property","4","If I turn a robot arm a half-turn each step it retraces itself. What changes with a third of a turn — or an irrational fraction?","2","Thinking alignment and repetition are unavoidable for any turn; missing the rational/irrational divide","Any angle that's a rational fraction of 360 degrees will eventually repeat.; An irrational number. Like phi.; the golden angle—137.5 degrees—is irrational. It's related to phi. So it never repeats. Ever."
"rejected-structural","PL-009","no-quotes-parsed;grounding-partial","corpus/inw/book1/ch04_v5.1.md","S: The chapter says plants turn 137.5 degrees. Do they measure the angle, or is it instinct?|N: Neither yet — first, who did the measuring in that sentence, the plant or the botanist?|S: The botanist. The 137.5 is a report about where leaves ended up, not a number the plant consulted.|N: So what is the honest way to phrase the observation?|S: When new leaves stack with turns near that fraction of a circle, no two leaves shadow the same direction — we measure the angle, the plant just grows.|N: And why does that phrasing matter for science?|S: It keeps intent out of the record. A report is checkable; an aim is a story we projected onto the plant.|N: Exactly — the angle is a report, not a target, and you caught the projection yourself, Sophie.","EX-023","8","137.5° is a report, not a target — the plant turns, we measure","redirect,belief-vs-knowledge,quantitative-care,name-last,credit-the-student","(1) measurer located; (2) report vs intent separated; (3) checkable phrasing produced; (4) no anthropomorphism residue; (5) student states the discipline","4","The chapter says plants turn 137.5 degrees. Do they measure the angle, or is it instinct?","2","Believing the plant aims at the measured angle; confusing the rule with the report","360 − 222.5 = 137.5.; forward by the big arc and backward by the small arc are the same move; The rule converges to it, all on its own.; The plant turns. The angle is only what my protractor makes of the turning."
"auto-validated","PL-010","","corpus/inw/book1/ch05_v5.1.md","S: I watched driftwood bob as waves passed but it stayed put. If a wave is water moving, why didn't the log drift away?|N: What did the log actually do — travel with the wave, or do something local?|S: It rose on the crest and sank in the trough and stayed put. So maybe the water isn't traveling — the rising and sinking is.|N: Then what crosses the beach if not the water itself?|S: The pattern — the wave travels while each bit of water just oscillates in place. The medium stays mostly put; the oscillation creates the traveling wave.|N: So when we say the wave moved, what is the that which moved?|S: The shape of the disturbance, not the stuff — the log was riding the pattern, not the water's journey.|N: You split pattern from stuff with one log — that is the driftwood test done properly, Sophie.","EX-026","10","The wave travels; the medium stays put (driftwood test)","elicit-observation,redirect,structural-why,credit-the-student","(1) driftwood behavior read correctly; (2) pattern vs stuff split; (3) medium-stays articulation; (4) no remaining wave-equals-moving-water error; (5) student owns the test","4","I watched driftwood bob as waves passed but it stayed put. If a wave is water moving, why didn't the log drift away?","2","Believing the wave carries water (matter) with it, so the driftwood should be swept toward shore","'The water particles move in small circles as the wave passes, but they don't travel with the wave. It's the pattern that travels'"
